time,logger,level,database,message,exception
2015-06-06 22:13:19.7235,Raven.Database.DocumentDatabase,Debug,<system>,Start loading the following database: <system>,
2015-06-06 22:13:20.8111,Raven.Database.Impl.DocumentCacher,Info,<system>,"MemoryCache Settings:
  PhysicalMemoryLimit = 99
  CacheMemoryLimit    = 3220176896
  PollingInterval     = 00:02:00",
2015-06-06 22:13:20.8472,Raven.Database.Storage.Esent.StorageConfigurator,Info,<system>,"Esent Settings:
  MaxVerPages      = 16384
  CacheSizeMax     = 262144
  DatabasePageSize = 4096",
2015-06-06 22:13:20.8472,Raven.Storage.Esent.TransactionalStorage,Info,<system>,"Esent Settings:
  MaxVerPages      = 16384
  CacheSizeMax     = 262144
  DatabasePageSize = 4096",
2015-06-06 22:13:21.2384,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Backup/Status' was not found,
2015-06-06 22:13:21.3482,Raven.Database.DocumentDatabase,Debug,,Finish loading the following database: <system>,
2015-06-06 22:13:21.3633,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,,Document with key 'Raven/Counters/Enabled' was not found,
2015-06-06 22:13:21.3789,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,,Document with key 'Raven/Authorization/WindowsSettings' was not found,
2015-06-06 22:13:21.3789,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2015-06-06 22:13:21.3789,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2015-06-06 22:13:23.5840,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  20: GET     -    27 ms -            - 200 - http://nathalie-w81pc:8080/studio-tasks/server-configs,
2015-06-06 22:13:23.5880,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  22: GET     -   154 ms -            - 200 - http://nathalie-w81pc:8080/singleAuthToken,
2015-06-06 22:13:23.6920,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  24: GET     -    67 ms -            - 200 - http://nathalie-w81pc:8080/databases?pageSize=1024&getAdditionalData=true,
2015-06-06 22:13:23.6920,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  25: GET     -    79 ms -            - 200 - http://nathalie-w81pc:8080/fs?pageSize=1024&getAdditionalData=true,
2015-06-06 22:13:23.8880,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/StudioConfig' was not found,
2015-06-06 22:13:23.8880,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Alerts' was not found,
2015-06-06 22:13:23.8520,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  27: GET     -    14 ms -            - 200 - http://nathalie-w81pc:8080/license/status,
2015-06-06 22:13:23.9320,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  28: POST    -   140 ms -            - 200 - http://nathalie-w81pc:8080/queries,
2015-06-06 22:13:23.9320,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  29: POST    -   181 ms -            - 200 - http://nathalie-w81pc:8080/queries,
2015-06-06 22:13:23.9921,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,	Raven/StudioConfig,
2015-06-06 22:13:23.9320,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,	Raven/Alerts,
2015-06-06 22:13:23.9921,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Alerts' was not found,
2015-06-06 22:13:23.9921,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  30: GET     -     9 ms -            - 200 - http://nathalie-w81pc:8080/build/version,
2015-06-06 22:13:24.0080,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  31: GET     -     6 ms -            - 200 - http://nathalie-w81pc:8080/operation/alerts,
2015-06-06 22:13:24.0280,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  32: GET     -    24 ms -            - 200 - http://nathalie-w81pc:8080/changes/config?id=pMunx&command=watch-prefix&value=Raven%2FDatabases%2F,
2015-06-06 22:13:24.0280,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  33: GET     -     0 ms -            - 200 - http://nathalie-w81pc:8080/changes/config?id=pMunx&command=watch-prefix&value=Raven%2FFileSystems%2F,
2015-06-06 22:13:24.0280,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  34: GET     -     0 ms -            - 200 - http://nathalie-w81pc:8080/changes/config?id=pMunx&command=watch-prefix&value=Raven%2FCounters%2F,
2015-06-06 22:13:24.0680,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  35: GET     -     0 ms -            - 200 - http://nathalie-w81pc:8080/changes/config?id=pMunx&command=watch-prefix&value=Raven%2FStudioConfig,
2015-06-06 22:13:24.0680,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  36: GET     -     0 ms -            - 200 - http://nathalie-w81pc:8080/changes/config?id=pMunx&command=watch-prefix&value=Raven%2FAlerts,
2015-06-06 22:13:24.1480,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  37: GET     -    70 ms -            - 200 - http://nathalie-w81pc:8080/debug/plugins,
2015-06-06 22:13:24.2800,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  38: GET     -   148 ms -            - 200 - http://nathalie-w81pc:8080/debug/config,
2015-06-06 22:13:24.3000,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  41: GET     -     0 ms -            - 200 - http://nathalie-w81pc:8080/debug/config,
2015-06-06 22:13:24.6836,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  42: GET     -   595 ms -            - 200 - http://nathalie-w81pc:8080/stats,
2015-06-06 22:13:24.6836,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  43: GET     -     0 ms -            - 200 - http://nathalie-w81pc:8080/stats,
2015-06-06 22:13:24.8878,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  44: GET     -   711 ms -            - 200 - http://nathalie-w81pc:8080/studio-tasks/latest-server-build-version?stableOnly=true&min=3000&max=3599,
2015-06-06 22:13:49.1119,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Databases/ProjectFuchsia' was not found,
2015-06-06 22:13:49.2278,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Databases/ProjectFuchsia' was not found,
2015-06-06 22:13:49.2518,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,"Inserted a new document with key 'Raven/Databases/ProjectFuchsia', update: False, ",
2015-06-06 22:13:49.2798,Raven.Database.Server.Tenancy.AbstractLandlord`1,Info,<system>,Shutting down database ProjectFuchsia because the tenant database has been updated or removed,
2015-06-06 22:13:49.2798,Raven.Database.Indexing.WorkContext,Debug,<system>,Incremented work counter to 1 because: PUT Raven/Databases/ProjectFuchsia,
2015-06-06 22:13:49.2798,Raven.Database.DocumentDatabase,Debug,<system>,Put document Raven/Databases/ProjectFuchsia with etag 01000000-0000-0001-0000-000000000001,
2015-06-06 22:13:49.2878,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 1, for: IndexingExecuter, will wait for additional work",
2015-06-06 22:13:49.2878,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 1, for: ReducingExecuter, will wait for additional work",
2015-06-06 22:13:49.2798,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  46: PUT     -   206 ms -            - 200 - http://nathalie-w81pc:8080/admin/databases/ProjectFuchsia,
2015-06-06 22:13:49.3078,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,"Document with key 'Raven/Databases/ProjectFuchsia' was found, etag: 01000000-0000-0001-0000-000000000001",
2015-06-06 22:13:49.3238,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,,"Document with key 'Raven/Databases/ProjectFuchsia' was found, etag: 01000000-0000-0001-0000-000000000001",
2015-06-06 22:13:49.3361,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  47: GET     -    32 ms -            - 200 - http://nathalie-w81pc:8080/docs/Raven/Databases/ProjectFuchsia,
2015-06-06 22:13:49.3558,Raven.Database.DocumentDatabase,Debug,ProjectFuchsia,Start loading the following database: ProjectFuchsia,
2015-06-06 22:13:49.4278,Raven.Database.Impl.DocumentCacher,Info,ProjectFuchsia,"MemoryCache Settings:
  PhysicalMemoryLimit = 99
  CacheMemoryLimit    = 3220176896
  PollingInterval     = 00:02:00",
2015-06-06 22:13:49.4278,Raven.Database.Storage.Esent.StorageConfigurator,Info,ProjectFuchsia,"Esent Settings:
  MaxVerPages      = 16384
  CacheSizeMax     = 262144
  DatabasePageSize = 4096",
2015-06-06 22:13:49.4278,Raven.Storage.Esent.TransactionalStorage,Info,ProjectFuchsia,"Esent Settings:
  MaxVerPages      = 16384
  CacheSizeMax     = 262144
  DatabasePageSize = 4096",
2015-06-06 22:13:49.5976,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,ProjectFuchsia,Document with key 'Raven/Backup/Status' was not found,
2015-06-06 22:13:49.6125,Raven.Database.DocumentDatabase,Debug,,Finish loading the following database: ProjectFuchsia,
2015-06-06 22:13:49.6125,Raven.Database.Indexing.WorkContext,Debug,ProjectFuchsia,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2015-06-06 22:13:49.6125,Raven.Database.Indexing.WorkContext,Debug,ProjectFuchsia,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2015-06-06 22:13:49.6750,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,ProjectFuchsia,Document with key 'IndexId1' was not found,
2015-06-06 22:13:51.0305,Raven.Database.Storage.IndexDefinitionStorage,Info,ProjectFuchsia,"New index Raven/DocumentsByEntityName:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using System.Globalization;
using System.Text.RegularExpressions;
using Raven.Database.Indexing;

public class Index_Raven_DocumentsByEntityName : Raven.Database.Linq.AbstractViewGenerator
{
	public Index_Raven_DocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
select new 
{ 
	Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""], 
	LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""],
	LastModifiedTicks = ((DateTime)doc[""""@metadata""""][""""Last-Modified""""]).Ticks 
};"";
		this.AddMapDefinition(docs => 
			from doc in ((IEnumerable<dynamic>)docs)
			select new {
				Tag = doc[""@metadata""][""Raven-Entity-Name""],
				LastModified = (DateTime)doc[""@metadata""][""Last-Modified""],
				LastModifiedTicks = ((DateTime)doc[""@metadata""][""Last-Modified""]).Ticks,
				__document_id = doc.__document_id
			});
		this.AddField(""Tag"");
		this.AddField(""LastModified"");
		this.AddField(""LastModifiedTicks"");
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""Ticks"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""Ticks"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using System.Globalization;
using System.Text.RegularExpressions;
using Raven.Database.Indexing;

public class Index_Raven_DocumentsByEntityName : Raven.Database.Linq.AbstractViewGenerator
{
	public Index_Raven_DocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
select new 
{ 
	Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""], 
	LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""],
	LastModifiedTicks = ((DateTime)doc[""""@metadata""""][""""Last-Modified""""]).Ticks 
};"";
		this.AddMapDefinition(docs => 
			from doc in ((IEnumerable<dynamic>)docs)
			select new {
				Tag = doc[""@metadata""][""Raven-Entity-Name""],
				LastModified = (DateTime)doc[""@metadata""][""Last-Modified""],
				LastModifiedTicks = ((DateTime)doc[""@metadata""][""Last-Modified""]).Ticks,
				__document_id = doc.__document_id
			});
		this.AddField(""Tag"");
		this.AddField(""LastModified"");
		this.AddField(""LastModifiedTicks"");
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""Ticks"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""Ticks"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
",
2015-06-06 22:13:51.0745,Raven.Database.Indexing.IndexStorage,Debug,ProjectFuchsia,Creating index 1 with id Raven/DocumentsByEntityName,
2015-06-06 22:13:51.1545,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-06-06 22:13:51.2865,Raven.Database.Indexing.Index.Indexing,Debug,ProjectFuchsia,Creating index for 1,
2015-06-06 22:13:51.3145,Raven.Database.Indexing.WorkContext,Debug,ProjectFuchsia,Incremented work counter to 1 because: PUT INDEX Raven/DocumentsByEntityName,
2015-06-06 22:13:51.3305,Raven.Database.Indexing.WorkContext,Debug,ProjectFuchsia,"No work was found, workerWorkCounter: 1, for: IndexingExecuter, will wait for additional work",
2015-06-06 22:13:51.3385,Raven.Database.Indexing.WorkContext,Debug,ProjectFuchsia,"No work was found, workerWorkCounter: 1, for: ReducingExecuter, will wait for additional work",
2015-06-06 22:13:51.3385,Raven.Database.Server.WebApi.RequestManager,Debug,ProjectFuchsia,Request #  49: GET     -     1 ms - ProjectFuchsia - 200 - http://nathalie-w81pc:8080/databases/ProjectFuchsia/singleAuthToken,
2015-06-06 22:13:51.3785,Raven.Database.Server.WebApi.RequestManager,Debug,ProjectFuchsia,Request #  50: GET     -     0 ms - ProjectFuchsia - 200 - http://nathalie-w81pc:8080/databases/ProjectFuchsia/changes/config?id=FkTI9&command=watch-docs,
2015-06-06 22:13:51.3785,Raven.Database.Server.WebApi.RequestManager,Debug,ProjectFuchsia,Request #  51: GET     -     0 ms - ProjectFuchsia - 200 - http://nathalie-w81pc:8080/databases/ProjectFuchsia/changes/config?id=FkTI9&command=watch-bulk-operation,
2015-06-06 22:13:51.3865,Raven.Database.Server.WebApi.RequestManager,Debug,ProjectFuchsia,Request #  52: GET     -     0 ms - ProjectFuchsia - 200 - http://nathalie-w81pc:8080/databases/ProjectFuchsia/changes/config?id=FkTI9&command=watch-indexes,
2015-06-06 22:13:51.3865,Raven.Database.Server.WebApi.RequestManager,Debug,ProjectFuchsia,Request #  53: GET     -    51 ms - ProjectFuchsia - 200 - http://nathalie-w81pc:8080/databases/ProjectFuchsia/stats,
2015-06-06 22:13:51.3985,Raven.Database.Server.WebApi.RequestManager,Debug,ProjectFuchsia,Request #  54: GET     -     0 ms - ProjectFuchsia - 200 - http://nathalie-w81pc:8080/databases/ProjectFuchsia/stats,
2015-06-06 22:14:19.5951,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,ProjectFuchsia,Performing Transactions Cleanup Sequence for db ProjectFuchsia,
2015-06-06 22:14:19.7070,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  74: GET     -    13 ms -            - 200 - http://localhost:8080/singleAuthToken,
2015-06-06 22:14:19.7390,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  75: GET     -    15 ms -            - 200 - http://localhost:8080/databases?pageSize=1024&getAdditionalData=true,
2015-06-06 22:14:19.7390,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  76: GET     -     0 ms -            - 200 - http://localhost:8080/studio-tasks/server-configs,
2015-06-06 22:14:19.7390,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  77: GET     -     0 ms -            - 200 - http://localhost:8080/fs?pageSize=1024&getAdditionalData=true,
2015-06-06 22:14:19.8270,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/StudioConfig' was not found,
2015-06-06 22:14:19.8270,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  79: POST    -     1 ms -            - 200 - http://localhost:8080/queries,
2015-06-06 22:14:19.8350,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Alerts' was not found,
2015-06-06 22:14:19.8350,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,	Raven/StudioConfig,
2015-06-06 22:14:19.8270,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  80: GET     -     0 ms -            - 200 - http://localhost:8080/build/version,
2015-06-06 22:14:19.8350,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  82: GET     -     0 ms -            - 200 - http://localhost:8080/license/status,
2015-06-06 22:14:19.8350,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  83: POST    -     0 ms -            - 200 - http://localhost:8080/queries,
2015-06-06 22:14:19.8510,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  84: GET     -     0 ms -            - 200 - http://localhost:8080/changes/config?id=JVp1e&command=watch-prefix&value=Raven%2FDatabases%2F,
2015-06-06 22:14:19.8790,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  85: GET     -     0 ms -            - 200 - http://localhost:8080/changes/config?id=JVp1e&command=watch-prefix&value=Raven%2FFileSystems%2F,
2015-06-06 22:14:19.8950,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,	Raven/Alerts,
2015-06-06 22:14:19.9110,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Alerts' was not found,
2015-06-06 22:14:19.8950,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  86: GET     -     0 ms -            - 200 - http://localhost:8080/changes/config?id=JVp1e&command=watch-prefix&value=Raven%2FCounters%2F,
