time,logger,level,database,message,exception
2015-06-07 21:23:31.5571,Raven.Database.Storage.Esent.StorageConfigurator,Info,ProjectFuchsia,"Esent Settings:
  MaxVerPages      = 16384
  CacheSizeMax     = 262144
  DatabasePageSize = 4096",
2015-06-07 21:23:31.5571,Raven.Storage.Esent.TransactionalStorage,Info,ProjectFuchsia,"Esent Settings:
  MaxVerPages      = 16384
  CacheSizeMax     = 262144
  DatabasePageSize = 4096",
2015-06-07 21:23:33.6088,Raven.Database.Storage.IndexDefinitionStorage,Info,ProjectFuchsia,"New index Raven/DocumentsByEntityName:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using System.Globalization;
using System.Text.RegularExpressions;
using Raven.Database.Indexing;

public class Index_Raven_DocumentsByEntityName : Raven.Database.Linq.AbstractViewGenerator
{
	public Index_Raven_DocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
select new 
{ 
	Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""], 
	LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""],
	LastModifiedTicks = ((DateTime)doc[""""@metadata""""][""""Last-Modified""""]).Ticks 
};"";
		this.AddMapDefinition(docs => 
			from doc in ((IEnumerable<dynamic>)docs)
			select new {
				Tag = doc[""@metadata""][""Raven-Entity-Name""],
				LastModified = (DateTime)doc[""@metadata""][""Last-Modified""],
				LastModifiedTicks = ((DateTime)doc[""@metadata""][""Last-Modified""]).Ticks,
				__document_id = doc.__document_id
			});
		this.AddField(""Tag"");
		this.AddField(""LastModified"");
		this.AddField(""LastModifiedTicks"");
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""Ticks"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""Ticks"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using System.Globalization;
using System.Text.RegularExpressions;
using Raven.Database.Indexing;

public class Index_Raven_DocumentsByEntityName : Raven.Database.Linq.AbstractViewGenerator
{
	public Index_Raven_DocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
select new 
{ 
	Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""], 
	LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""],
	LastModifiedTicks = ((DateTime)doc[""""@metadata""""][""""Last-Modified""""]).Ticks 
};"";
		this.AddMapDefinition(docs => 
			from doc in ((IEnumerable<dynamic>)docs)
			select new {
				Tag = doc[""@metadata""][""Raven-Entity-Name""],
				LastModified = (DateTime)doc[""@metadata""][""Last-Modified""],
				LastModifiedTicks = ((DateTime)doc[""@metadata""][""Last-Modified""]).Ticks,
				__document_id = doc.__document_id
			});
		this.AddField(""Tag"");
		this.AddField(""LastModified"");
		this.AddField(""LastModifiedTicks"");
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""Ticks"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""Ticks"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
",
2015-06-07 21:23:33.6357,Raven.Database.Indexing.IndexStorage.Startup,Debug,ProjectFuchsia,Loading saved index Raven/DocumentsByEntityName,
2015-06-07 21:23:33.6966,Raven.Database.Indexing.Index.Indexing,Debug,ProjectFuchsia,Creating index for 1,
2015-06-07 21:23:33.8533,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,ProjectFuchsia,Document with key 'Raven/Backup/Status' was not found,
2015-06-07 21:23:33.8533,Raven.Database.DocumentDatabase,Debug,,Finish loading the following database: ProjectFuchsia,
2015-06-07 21:23:33.8533,Raven.Database.Indexing.WorkContext,Debug,ProjectFuchsia,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2015-06-07 21:23:33.8693,Raven.Database.Server.WebApi.RequestManager,Debug,ProjectFuchsia,"Request #  40: GET     - 2,381 ms - ProjectFuchsia - 200 - http://nathalie-w81pc:8080/databases/ProjectFuchsia/singleAuthToken",
2015-06-07 21:23:33.8693,Raven.Database.Indexing.WorkContext,Debug,ProjectFuchsia,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2015-06-07 21:23:33.9112,Raven.Database.Server.WebApi.RequestManager,Debug,ProjectFuchsia,Request #  41: GET     -     0 ms - ProjectFuchsia - 200 - http://nathalie-w81pc:8080/databases/ProjectFuchsia/singleAuthToken,
2015-06-07 21:23:33.9232,Raven.Database.Server.WebApi.RequestManager,Debug,ProjectFuchsia,Request #  42: GET     -     1 ms - ProjectFuchsia - 200 - http://nathalie-w81pc:8080/databases/ProjectFuchsia/changes/config?id=oLDif&command=watch-bulk-operation,
2015-06-07 21:23:33.9302,Raven.Database.Server.WebApi.RequestManager,Debug,ProjectFuchsia,Request #  44: GET     -     0 ms - ProjectFuchsia - 200 - http://nathalie-w81pc:8080/databases/ProjectFuchsia/changes/config?id=oLDif&command=watch-docs,
2015-06-07 21:23:33.9232,Raven.Database.Server.WebApi.RequestManager,Debug,ProjectFuchsia,Request #  43: GET     -     0 ms - ProjectFuchsia - 200 - http://nathalie-w81pc:8080/databases/ProjectFuchsia/changes/config?id=oLDif&command=watch-indexes,
2015-06-07 21:23:34.4034,Raven.Database.Server.WebApi.RequestManager,Debug,ProjectFuchsia,"Request #  45: GET     - 2,960 ms - ProjectFuchsia - 200 - http://nathalie-w81pc:8080/databases/ProjectFuchsia/stats",
2015-06-07 21:23:34.4134,Raven.Database.Server.WebApi.RequestManager,Debug,ProjectFuchsia,Request #  46: GET     -     0 ms - ProjectFuchsia - 200 - http://nathalie-w81pc:8080/databases/ProjectFuchsia/stats,
2015-06-07 21:23:38.4327,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,ProjectFuchsia,Document with key 'Raven/Javascript/Functions' was not found,
2015-06-07 21:23:38.3648,Raven.Database.Server.WebApi.RequestManager,Debug,ProjectFuchsia,Request #  47: GET     -     3 ms - ProjectFuchsia - 200 - http://nathalie-w81pc:8080/databases/ProjectFuchsia/stats,
2015-06-07 21:23:38.3648,Raven.Database.Server.WebApi.RequestManager,Debug,ProjectFuchsia,Request #  48: GET     -     0 ms - ProjectFuchsia - 200 - http://nathalie-w81pc:8080/databases/ProjectFuchsia/singleAuthToken,
2015-06-07 21:23:38.4686,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,ProjectFuchsia,Document with key 'Raven/Alerts' was not found,
2015-06-07 21:23:38.4327,Raven.Database.Server.WebApi.RequestManager,Debug,ProjectFuchsia,Request #  49: GET     -     7 ms - ProjectFuchsia - 404 - http://nathalie-w81pc:8080/databases/ProjectFuchsia/docs/Raven/Javascript/Functions,
2015-06-07 21:23:38.4686,Raven.Database.Server.WebApi.RequestManager,Debug,ProjectFuchsia,Request #  50: GET     -     1 ms - ProjectFuchsia - 200 - http://nathalie-w81pc:8080/databases/ProjectFuchsia/operation/alerts,
2015-06-07 21:23:38.5156,Raven.Database.Server.WebApi.RequestManager,Debug,ProjectFuchsia,Request #  52: GET     -    54 ms - ProjectFuchsia - 304 - http://nathalie-w81pc:8080/databases/ProjectFuchsia/terms/Raven/DocumentsByEntityName?field=Tag&pageSize=1024,
2015-06-07 21:23:38.9668,Raven.Database.Indexing.Index.Querying,Debug,ProjectFuchsia,Issuing query on index 1 for: Tag:Challenges,
2015-06-07 21:23:39.0607,Raven.Database.Server.Controllers.RavenBaseApiController,Debug,ProjectFuchsia,"	Query: Tag:Challenges
	Time: 317 ms
	Index: Raven/DocumentsByEntityName
	Results: 0 returned out of 1 total.
	Timing:
",
2015-06-07 21:23:39.0756,Raven.Database.Server.WebApi.RequestManager,Debug,ProjectFuchsia,Request #  53: GET     -   375 ms - ProjectFuchsia - 200 - http://multi.get/databases/ProjectFuchsia/indexes/Raven/DocumentsByEntityName?&query=Tag:Challenges&pageSize=0,
2015-06-07 21:23:39.0826,Raven.Database.Server.WebApi.RequestManager,Debug,ProjectFuchsia,"	Query: Tag:Challenges
	Time: 317 ms
	Index: Raven/DocumentsByEntityName
	Results: 0 returned out of 1 total.
	Timing:",
2015-06-07 21:23:39.1166,Raven.Database.Server.WebApi.RequestManager,Debug,ProjectFuchsia,Request #  54: POST    -   499 ms - ProjectFuchsia - 200 - http://nathalie-w81pc:8080/databases/ProjectFuchsia/multi_get?parallel=yes,
2015-06-07 21:23:39.1166,Raven.Database.Server.WebApi.RequestManager,Debug,ProjectFuchsia,"	0: databases/ProjectFuchsia/indexes/Raven/DocumentsByEntityName?&query=Tag:Challenges&pageSize=0			Query: Tag:Challenges
	Time: 317 ms
	Index: Raven/DocumentsByEntityName
	Results: 0 returned out of 1 total.
	Timing:",
2015-06-07 21:23:39.1685,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,ProjectFuchsia,Document with key 'Raven/Studio/Columns/AllDocuments' was not found,
2015-06-07 21:23:39.1715,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,ProjectFuchsia,Document with key 'Raven/Studio/Columns/AllDocuments' was not found,
2015-06-07 21:23:39.1715,Raven.Database.Server.WebApi.RequestManager,Debug,ProjectFuchsia,Request #  55: POST    -     3 ms - ProjectFuchsia - 200 - http://nathalie-w81pc:8080/databases/ProjectFuchsia/queries,
2015-06-07 21:23:39.1715,Raven.Database.Server.WebApi.RequestManager,Debug,ProjectFuchsia,Request #  56: POST    -     0 ms - ProjectFuchsia - 200 - http://nathalie-w81pc:8080/databases/ProjectFuchsia/queries,
2015-06-07 21:23:39.1934,Raven.Database.Server.WebApi.RequestManager,Debug,ProjectFuchsia,	Raven/Studio/Columns/AllDocuments,
2015-06-07 21:23:39.1934,Raven.Database.Server.WebApi.RequestManager,Debug,ProjectFuchsia,	Raven/Studio/Columns/AllDocuments,
2015-06-07 21:23:39.2543,Raven.Database.Server.Controllers.RavenBaseApiController,Debug,ProjectFuchsia,"	Query: 
	Time: 0 ms
",
2015-06-07 21:23:39.2543,Raven.Database.Server.WebApi.RequestManager,Debug,ProjectFuchsia,Request #  57: GET     -     0 ms - ProjectFuchsia - 304 - http://nathalie-w81pc:8080/databases/ProjectFuchsia/indexes/Raven/DocumentsByEntityName?query=&start=0&pageSize=0,
2015-06-07 21:23:39.2543,Raven.Database.Server.WebApi.RequestManager,Debug,ProjectFuchsia,"	Query: 
	Time: 0 ms",
2015-06-07 21:23:39.2683,Raven.Database.Server.WebApi.RequestManager,Debug,ProjectFuchsia,Request #  58: GET     -    13 ms - ProjectFuchsia - 304 - http://nathalie-w81pc:8080/databases/ProjectFuchsia/docs?start=0&pageSize=27,
2015-06-07 21:23:58.6242,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-06-07 21:23:59.4378,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,,"Document with key 'Raven/Alerts' was found, etag: 01000000-0000-0002-0000-000000000002",
2015-06-07 21:23:59.4868,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,,"Inserted a new document with key 'Raven/Alerts', update: True, ",
2015-06-07 21:23:59.5277,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,"Document with key 'Raven/Alerts' was found, etag: 01000000-0000-0003-0000-000000000001",
2015-06-07 21:23:59.5277,Raven.Database.Indexing.WorkContext,Debug,,Incremented work counter to 1 because: PUT Raven/Alerts,
2015-06-07 21:23:59.5277,Raven.Database.DocumentDatabase,Debug,,Put document Raven/Alerts with etag 01000000-0000-0003-0000-000000000001,
2015-06-07 21:23:59.5277,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  59: POST    -     0 ms -            - 200 - http://nathalie-w81pc:8080/queries,
2015-06-07 21:23:59.5277,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 1, for: IndexingExecuter, will wait for additional work",
2015-06-07 21:23:59.5277,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 1, for: ReducingExecuter, will wait for additional work",
2015-06-07 21:23:59.5277,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,	Raven/Alerts,
2015-06-07 21:24:03.5831,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,ProjectFuchsia,Performing Transactions Cleanup Sequence for db ProjectFuchsia,
2015-06-07 21:24:28.5897,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-06-07 21:24:33.5343,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,ProjectFuchsia,Performing Transactions Cleanup Sequence for db ProjectFuchsia,
2015-06-07 21:24:58.5407,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-06-07 21:25:03.4845,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,ProjectFuchsia,Performing Transactions Cleanup Sequence for db ProjectFuchsia,
2015-06-07 21:25:28.4923,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-06-07 21:25:34.4377,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,ProjectFuchsia,Performing Transactions Cleanup Sequence for db ProjectFuchsia,
2015-06-07 21:25:59.4090,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-06-07 21:26:04.3459,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,ProjectFuchsia,Performing Transactions Cleanup Sequence for db ProjectFuchsia,
2015-06-07 21:26:29.2353,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-06-07 21:26:34.1741,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,ProjectFuchsia,Performing Transactions Cleanup Sequence for db ProjectFuchsia,
2015-06-07 21:26:59.0725,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-06-07 21:27:04.0123,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,ProjectFuchsia,Performing Transactions Cleanup Sequence for db ProjectFuchsia,
2015-06-07 21:27:28.8988,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-06-07 21:27:33.8376,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,ProjectFuchsia,Performing Transactions Cleanup Sequence for db ProjectFuchsia,
2015-06-07 21:27:58.7248,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-06-07 21:28:03.6781,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,ProjectFuchsia,Performing Transactions Cleanup Sequence for db ProjectFuchsia,
2015-06-07 21:28:28.6207,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
